cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow
100000,30731000,24666000,NO,25.0,17.0,14.0,YES,143701.0,,,
101000,24666000,24564000,NO,25.0,16.0,9.0,YES,124386.0,,,
102000,24564000,24530000,NO,25.0,14.0,6.0,YES,118965.0,,,
103000,24530000,24563000,NO,25.0,12.0,8.0,YES,119853.0,,,
104001,24563000,54001000,NO,25.0,1.0,0.0,YES,82917.0,,,
104002,54001000,24542000,NO,25.0,1.0,0.0,YES,82433.0,,,
105000,24542000,24534000,NO,25.0,9.0,13.0,YES,81940.0,,,
106000,24534000,24532000,NO,25.0,9.0,7.0,YES,78643.0,,,
107000,24532000,24528000,NO,25.0,18.0,15.0,YES,62534.0,,,
108001,24528000,24526000,NO,25.0,18.0,12.0,YES,43461.0,,,
110000,24526000,24522000,NO,25.0,16.0,12.0,YES,46819.0,,,
111000,24522000,24500000,NO,25.0,13.0,12.0,YES,46359.0,,,
112000,24500000,24499000,NO,25.0,14.0,12.0,YES,44170.0,,,
113000,24499000,24494000,NO,25.0,8.0,7.0,YES,42885.0,,,
114000,24494000,50034000,NO,25.0,0.0,0.0,YES,42394.0,,,
115001,35003000,24478000,NO,25.0,0.0,14.0,NO,20206.0,,,
116001,24478000,54007000,NO,25.0,0.0,3.0,NO,19420.0,,,
116002,54007000,23600000,NO,25.0,0.0,21.0,NO,17987.0,,,
117000,23600000,50091000,NO,25.0,0.0,44.0,NO,13063.0,,,
118000,51403000,27579000,NO,25.0,0.0,0.0,NO,27927.0,,,
119000,27579000,27577000,NO,25.0,0.0,0.0,NO,36204.0,,,
120000,27577000,27565000,NO,25.0,0.0,7.0,NO,36204.0,,,
121000,27565000,27246000,NO,25.0,1.0,20.0,NO,80516.0,,,
122000,27246000,27231000,NO,25.0,12.0,32.0,NO,97110.0,,,
123000,27231000,27226000,NO,25.0,6.0,31.0,NO,89901.0,,,
124000,27226000,27224000,NO,25.0,0.0,0.0,NO,67077.0,,,
125000,27224000,27212000,NO,25.0,0.0,0.0,NO,34047.0,,,
126000,27212000,27210000,NO,25.0,0.0,0.0,NO,27857.0,,,
127000,27181000,27070000,NO,25.0,0.0,19.0,NO,29935.0,,,
128000,27070000,27068000,NO,25.0,0.0,0.0,NO,32437.0,,,
129000,30734000,24618000,YES,25.0,5.0,9.0,NO,179865.0,BIKE LANE,GREEN PAINT,NO
129000,30734000,24618000,YES,25.0,5.0,9.0,NO,179865.0,BIKE LANE,,NO
130000,24618000,24605000,YES,25.0,5.0,5.0,NO,189071.0,BIKE LANE,,NO
130000,24618000,24605000,YES,25.0,5.0,5.0,NO,189071.0,BIKE LANE,,NO
131000,24605000,24597000,YES,25.0,12.0,12.0,NO,179302.0,BIKE LANE,GREEN PAINT,NO
131000,24605000,24597000,YES,25.0,12.0,12.0,NO,179302.0,BIKE LANE,,YES
132000,24597000,24594000,YES,25.0,15.0,11.0,NO,184753.0,BIKE LANE,,NO
132000,24597000,24594000,YES,25.0,15.0,11.0,NO,184753.0,BIKE LANE,GREEN PAINT,NO
